PriceKey,ProductKey,PV1,PV2,PV3,PV4,PV5
1,10002902,845,845,845,845,845
2,10003931,39,39,39,39,39
3,10008411,82,82,82,82,82
4,10009874,38,38,38,38,38
5,10010602,12.9,12.9,12.9,12.9,12.9
6,10010840,6.1,6.1,6.1,6.1,6.1
7,10011470,2.49,2.49,2.49,2.49,2.49
8,10011491,3.49,3.49,3.49,3.49,3.49
9,10011526,2.9,2.9,2.9,2.9,2.9
10,10011561,2.99,2.99,2.99,2.99,2.99
11,10011575,3.99,3.99,3.99,3.99,3.99
12,10011603,7.1,7.1,7.1,7.1,7.1
13,10011610,9.49,9.49,9.49,9.49,9.49
14,10011624,12,12,12,12,12
15,10011631,13,13,13,13,13
16,10011666,19.49,19.49,19.49,19.49,19.49
17,10011841,3.19,3.19,3.19,3.19,3.19
18,10011855,3.69,3.69,3.69,3.69,3.69
19,10011862,3.99,3.99,3.99,3.99,3.99
20,10011890,5.49,5.49,5.49,5.49,5.49
21,10011946,1.55,1.55,1.55,1.55,1.55
22,10011995,1.9,1.9,1.9,1.9,1.9
23,10012016,1.39,1.39,1.39,1.39,1.39
24,10012030,2.19,2.19,2.19,2.19,2.19
25,10012044,2.45,2.45,2.45,2.45,2.45
26,10012051,2.55,2.55,2.55,2.55,2.55
27,10018533,3.85,3.85,3.85,3.85,3.85
28,10018540,4.35,4.35,4.35,4.35,4.35
29,10018554,4.65,4.65,4.65,4.65,4.65
30,10018561,5.1,5.1,5.1,5.1,5.1
31,10018771,5.95,5.95,5.95,5.95,5.95
32,10018785,6.25,6.25,6.25,6.25,6.25
33,10018890,1.85,1.85,1.85,1.85,1.85
34,10018904,1.85,1.85,1.85,1.85,1.85
35,10018911,2.45,2.45,2.45,2.45,2.45
36,10018925,2.39,2.39,2.39,2.39,2.39
37,10021172,16.45,16.45,16.45,16.45,16.45
38,10021186,23.2,23.2,23.2,23.2,23.2
39,10023076,8.38,8.38,8.38,8.38,8.38
40,10025001,8.38,8.38,8.38,8.38,8.38
41,10025295,2.96,2.96,2.96,2.96,2.96
42,10025302,2.99,2.99,2.99,2.99,2.99
43,10025316,2.96,2.96,2.96,2.96,2.96
44,10025323,2.59,2.59,2.59,2.59,2.59
45,10027780,69.6,69.6,69.6,69.6,69.6
46,10027843,589,589,589,589,569
47,10027906,18.68,18.68,18.68,18.68,18.68
48,10027934,23.75,23.75,23.75,23.75,23.75
49,10028032,89.57,89.57,89.57,89.57,89.57
50,10028326,15.4,15.4,15.4,15.4,15.4
