ProductKey,Libell‚ marque propre,Raion& Sub Raion,Grup
10000011,F?r? marc?,7-8,7D
10000025,F?r? marc?,7-28,7D
10000032,F?r? marc?,7-99,7T
10000046,F?r? marc?,7-10,7T
10000053,F?r? marc?,7-15,7T
10000060,F?r? marc?,7-20,7T
10000074,F?r? marc?,7-23,7T
10000081,F?r? marc?,7-98,7T
10000095,F?r? marc?,9-5,9D
10000102,F?r? marc?,9-10,9D
10000116,F?r? marc?,9-15,9D
10000123,F?r? marc?,9-20,9D
10000130,F?r? marc?,9-80,9D
10000144,F?r? marc?,9-81,9D
10000151,F?r? marc?,9-96,9D
10000165,F?r? marc?,9-98,9D
10000172,F?r? marc?,9-99,9D
10000186,F?r? marc?,9-90,9D
10000193,F?r? marc?,9-95,9D
10000200,F?r? marc?,9-97,9D
10000214,F?r? marc?,9-91,9D
10000221,F?r? marc?,9-25,9T
10000235,F?r? marc?,9-30,9T
10000242,F?r? marc?,9-35,9T
10000256,F?r? marc?,9-40,9T
10000263,F?r? marc?,9-45,9T
10000270,F?r? marc?,9-50,9T
10000284,F?r? marc?,9-55,9T
10000291,F?r? marc?,9-60,9T
10000305,F?r? marc?,9-65,9D
10000312,F?r? marc?,9-70,9T
10000326,F?r? marc?,9-75,9T
10000333,F?r? marc?,9-85,9T
10000340,F?r? marc?,,
10000354,F?r? marc?,,
10000361,F?r? marc?,,
10000375,F?r? marc?,,
10000382,F?r? marc?,,
10000396,F?r? marc?,,
10000403,F?r? marc?,,
10000410,F?r? marc?,,
10000424,F?r? marc?,,
10000431,F?r? marc?,,
10000445,F?r? marc?,,
10000452,F?r? marc?,,
10000466,F?r? marc?,,
10000473,F?r? marc?,,
10000480,F?r? marc?,,
10000494,F?r? marc?,,
10000501,F?r? marc?,,
10000515,F?r? marc?,,
10000522,F?r? marc?,,
10000536,F?r? marc?,,
10000543,F?r? marc?,,
10000550,F?r? marc?,,
10000564,F?r? marc?,,
10000571,F?r? marc?,,
10000585,F?r? marc?,,
10000592,F?r? marc?,,
10000606,F?r? marc?,,
10000613,F?r? marc?,,
10000620,F?r? marc?,,
10000634,F?r? marc?,,
10000641,F?r? marc?,,
10000655,F?r? marc?,,
10000662,F?r? marc?,,
10000676,F?r? marc?,,
10000683,F?r? marc?,,
10000690,F?r? marc?,,
10000704,F?r? marc?,,
10000711,F?r? marc?,,
10000725,F?r? marc?,,
10000732,F?r? marc?,,
10000746,F?r? marc?,,
10000753,F?r? marc?,,
10000760,F?r? marc?,,
10000774,F?r? marc?,,
10000781,F?r? marc?,,
10000795,F?r? marc?,,
10000802,F?r? marc?,,
10000816,F?r? marc?,,
10000823,F?r? marc?,,
10000830,F?r? marc?,,
10000844,F?r? marc?,,
10000851,F?r? marc?,,
10000865,F?r? marc?,,
10000872,F?r? marc?,,
10000886,F?r? marc?,,
10000893,F?r? marc?,,
10000900,F?r? marc?,,
10000914,F?r? marc?,,
10000921,F?r? marc?,,
10000935,F?r? marc?,,
10000942,F?r? marc?,,
10000956,F?r? marc?,,
10000963,F?r? marc?,,
10000970,F?r? marc?,,
10000984,F?r? marc?,,
10000991,F?r? marc?,,
10001005,F?r? marc?,,
10001012,F?r? marc?,,
10001026,F?r? marc?,,
10001033,F?r? marc?,,
10001040,F?r? marc?,,
10001054,F?r? marc?,,
10001061,F?r? marc?,,
10001075,F?r? marc?,,
10001082,F?r? marc?,,
10001096,F?r? marc?,,
10001103,F?r? marc?,,
10001110,F?r? marc?,,
10001124,F?r? marc?,,
10001131,F?r? marc?,,
10001145,F?r? marc?,,
10001152,F?r? marc?,,
10001166,F?r? marc?,,
10001173,F?r? marc?,,
10001180,F?r? marc?,,
10001194,F?r? marc?,,
10001201,F?r? marc?,,
10001215,F?r? marc?,,
10001222,F?r? marc?,,
10001236,F?r? marc?,,
10001243,F?r? marc?,,
10001250,F?r? marc?,,
10001264,F?r? marc?,,
10001271,F?r? marc?,,
10001285,F?r? marc?,,
10001292,F?r? marc?,,
10001306,F?r? marc?,,
10001313,F?r? marc?,,
10001320,F?r? marc?,,
10001334,F?r? marc?,,
10001341,F?r? marc?,,
10001355,F?r? marc?,,
10001362,F?r? marc?,,
10001376,F?r? marc?,,
10001383,F?r? marc?,,
10001390,F?r? marc?,,
10001404,F?r? marc?,,
10001411,F?r? marc?,,
10001425,F?r? marc?,,
