Row_id,Raion,Denumire raion,Sub Raion,Nr articol,Denumire articol, Cantitate vanduta ,Pret de vanzare
1,1,MATERIALE DE CONSTRUCTII,25,11565323,KNAUF TIJ? 1000MM CU INEL/CIOC 100 BUC, 0     ,119
2,1,MATERIALE DE CONSTRUCTII,5,11300065,BCA 600X250X200MM NF 1MC SV, 0     ,362
3,1,MATERIALE DE CONSTRUCTII,25,11565421,KNAUF PIESA INCRU. SIMPLA CD 100 BUC, 0     ,36.8
4,1,MATERIALE DE CONSTRUCTII,5,11558085,VERBLOK BCA 100X300X600MM MC DJ, 0     ,369
5,1,MATERIALE DE CONSTRUCTII,25,11565435,"KNAUF BRID? REGLABIL? CD 3,5-5CM 100 BUC", 0     ,58.1
6,1,MATERIALE DE CONSTRUCTII,15,10267551,RACORD SCURG JGHEAB MARO DIAM 80/100, 1     ,20.6
7,1,MATERIALE DE CONSTRUCTII,15,10267656,PIES? COL? INT-EXT RO?IE CU LIPIRE, 1     ,19.1
8,1,MATERIALE DE CONSTRUCTII,15,10267810,BURLAN PVC MARO DIAM 100X3M, 1     ,37.3
9,1,MATERIALE DE CONSTRUCTII,20,10283140,CAPAC FONT? B125 PAS LIBER ?550MM, 1     ,285
10,1,MATERIALE DE CONSTRUCTII,20,10283161,CAPAC FONT? D400 PAS LIBER DIAM 600, 1     ,619
11,1,MATERIALE DE CONSTRUCTII,20,10283273,C?MIN PLUVIAL VERTICAL D75/125MM ?110MM, 1     ,44.4
12,1,MATERIALE DE CONSTRUCTII,20,10283350,CAPAC C?MIN PLUV 300X300, 1     ,22.92
13,1,MATERIALE DE CONSTRUCTII,35,10296482,SIKA SEAL TAPE S BAND? SIGILARE 50M, 1     ,277
14,1,MATERIALE DE CONSTRUCTII,5,10351992,ELEMENT DE ÎMBINARE PLAT 180X40, 1     ,2.44
15,1,MATERIALE DE CONSTRUCTII,40,10371795,SCAR? ALUMINIU ECO 3X7, 1     ,264
16,1,MATERIALE DE CONSTRUCTII,40,10371830,"MINI SCHEL? 3 IN 1 ,3M ÎNAL?IME DE LUCRU", 1     ,354.11
17,1,MATERIALE DE CONSTRUCTII,15,10416315,"POLICARBONAT CLAR 6MM 1UV 1,05M X 2M", 1     ,54
18,1,MATERIALE DE CONSTRUCTII,5,10421453,?EAV? P?TRAT? O?EL 20X20X1.5MM 6M, 1     ,19.5
19,1,MATERIALE DE CONSTRUCTII,10,10447024,MORTAR REFRACTAR M29A 25KG, 1     ,25.7
20,1,MATERIALE DE CONSTRUCTII,30,10478090,PROFIL PVC MUCHIE DREAPTA 2500MM, 1     ,1.43
